Altium Designer Pick and Place Locations
C:\Users\user\Nextcloud\PC-SYNC\Projects\_source_codes\_all_git_repos\diode\Project Outputs for Diode\2\Pick Place for Panelized_THIN.csv

========================================================================================================================
File Design Information:

Date:       26/02/21
Time:       17:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"D31","US2MF","TopLayer","DO-214AC","19.0087","152.9508","190","DIODE - HyperFast 1kV","19.0000","153.0000","20.8711","153.3299"
"D32","US2MF","TopLayer","DO-214AC","19.0087","157.5492","350","DIODE - HyperFast 1kV","19.0000","157.5000","17.1289","157.8299"
"D33","US2MF","TopLayer","DO-214AC","19.0087","161.9508","190","DIODE - HyperFast 1kV","19.0000","162.0000","20.8711","162.3299"
"D34","US2MF","TopLayer","DO-214AC","19.0087","166.5492","350","DIODE - HyperFast 1kV","19.0000","166.5000","17.1289","166.8299"
"D35","US2MF","TopLayer","DO-214AC","19.0087","170.9508","190","DIODE - HyperFast 1kV","19.0000","171.0000","20.8711","171.3299"
"D40","US2MF","TopLayer","DO-214AC","19.0087","193.5492","350","DIODE - HyperFast 1kV","19.0000","193.5000","17.1289","193.8299"
"D39","US2MF","TopLayer","DO-214AC","19.0087","188.9508","190","DIODE - HyperFast 1kV","19.0000","189.0000","20.8711","189.3299"
"D38","US2MF","TopLayer","DO-214AC","19.0087","184.5492","350","DIODE - HyperFast 1kV","19.0000","184.5000","17.1289","184.8299"
"D37","US2MF","TopLayer","DO-214AC","19.0087","179.9508","190","DIODE - HyperFast 1kV","19.0000","180.0000","20.8711","180.3299"
"D36","US2MF","TopLayer","DO-214AC","19.0087","175.5492","350","DIODE - HyperFast 1kV","19.0000","175.5000","17.1289","175.8299"
"D26","US2MF","TopLayer","DO-214AC","19.0087","130.5492","350","DIODE - HyperFast 1kV","19.0000","130.5000","17.1289","130.8299"
"D27","US2MF","TopLayer","DO-214AC","19.0087","134.9508","190","DIODE - HyperFast 1kV","19.0000","135.0000","20.8711","135.3299"
"D28","US2MF","TopLayer","DO-214AC","19.0087","139.5492","350","DIODE - HyperFast 1kV","19.0000","139.5000","17.1289","139.8299"
"D29","US2MF","TopLayer","DO-214AC","19.0087","143.9508","190","DIODE - HyperFast 1kV","19.0000","144.0000","20.8711","144.3299"
"D30","US2MF","TopLayer","DO-214AC","19.0087","148.5492","350","DIODE - HyperFast 1kV","19.0000","148.5000","17.1289","148.8299"
"D25","US2MF","TopLayer","DO-214AC","19.0087","125.9508","190","DIODE - HyperFast 1kV","19.0000","126.0000","20.8711","126.3299"
"D24","US2MF","TopLayer","DO-214AC","19.0087","121.5492","350","DIODE - HyperFast 1kV","19.0000","121.5000","17.1289","121.8299"
"D23","US2MF","TopLayer","DO-214AC","19.0087","116.9508","190","DIODE - HyperFast 1kV","19.0000","117.0000","20.8711","117.3299"
"D22","US2MF","TopLayer","DO-214AC","19.0087","112.5492","350","DIODE - HyperFast 1kV","19.0000","112.5000","17.1289","112.8299"
"D21","US2MF","TopLayer","DO-214AC","19.0087","107.9508","190","DIODE - HyperFast 1kV","19.0000","108.0000","20.8711","108.3299"
"D20","US2MF","TopLayer","DO-214AC","19.0087","103.5492","350","DIODE - HyperFast 1kV","19.0000","103.5000","17.1289","103.8299"
"D19","US2MF","TopLayer","DO-214AC","19.0087","98.9508","190","DIODE - HyperFast 1kV","19.0000","99.0000","20.8711","99.3299"
"D18","US2MF","TopLayer","DO-214AC","19.0087","94.5492","350","DIODE - HyperFast 1kV","19.0000","94.5000","17.1289","94.8299"
"D17","US2MF","TopLayer","DO-214AC","19.0087","89.9508","190","DIODE - HyperFast 1kV","19.0000","90.0000","20.8711","90.3299"
"D16","US2MF","TopLayer","DO-214AC","19.0087","85.5492","350","DIODE - HyperFast 1kV","19.0000","85.5000","17.1289","85.8299"
"D15","US2MF","TopLayer","DO-214AC","19.0087","80.9508","190","DIODE - HyperFast 1kV","19.0000","81.0000","20.8711","81.3299"
"D14","US2MF","TopLayer","DO-214AC","19.0087","76.5492","350","DIODE - HyperFast 1kV","19.0000","76.5000","17.1289","76.8299"
"D13","US2MF","TopLayer","DO-214AC","19.0087","71.9508","190","DIODE - HyperFast 1kV","19.0000","72.0000","20.8711","72.3299"
"D12","US2MF","TopLayer","DO-214AC","19.0087","67.5493","350","DIODE - HyperFast 1kV","19.0000","67.5000","17.1289","67.8299"
"D11","US2MF","TopLayer","DO-214AC","19.0087","62.9508","190","DIODE - HyperFast 1kV","19.0000","63.0000","20.8711","63.3299"
"D10","US2MF","TopLayer","DO-214AC","19.0087","58.5493","350","DIODE - HyperFast 1kV","19.0000","58.5000","17.1289","58.8299"
"D9","US2MF","TopLayer","DO-214AC","19.0087","53.9508","190","DIODE - HyperFast 1kV","19.0000","54.0000","20.8711","54.3299"
"D8","US2MF","TopLayer","DO-214AC","19.0087","49.5493","350","DIODE - HyperFast 1kV","19.0000","49.5000","17.1289","49.8299"
"D7","US2MF","TopLayer","DO-214AC","19.0087","44.9508","190","DIODE - HyperFast 1kV","19.0000","45.0000","20.8711","45.3299"
"D6","US2MF","TopLayer","DO-214AC","19.0087","40.5493","350","DIODE - HyperFast 1kV","19.0000","40.5000","17.1289","40.8299"
"D5","US2MF","TopLayer","DO-214AC","19.0087","35.9508","190","DIODE - HyperFast 1kV","19.0000","36.0000","20.8711","36.3299"
"D4","US2MF","TopLayer","DO-214AC","19.0087","31.5493","350","DIODE - HyperFast 1kV","19.0000","31.5000","17.1289","31.8299"
"D3","US2MF","TopLayer","DO-214AC","19.0087","26.9508","190","DIODE - HyperFast 1kV","19.0000","27.0000","20.8711","27.3299"
"D2","US2MF","TopLayer","DO-214AC","19.0087","22.5492","350","DIODE - HyperFast 1kV","19.0000","22.5000","17.1289","22.8299"
"D1","US2MF","TopLayer","DO-214AC","19.0087","17.9508","190","DIODE - HyperFast 1kV","19.0000","18.0000","20.8711","18.3299"
"D31","US2MF","TopLayer","DO-214AC","7.0087","152.9508","190","DIODE - HyperFast 1kV","7.0000","153.0000","8.8711","153.3299"
"D32","US2MF","TopLayer","DO-214AC","7.0087","157.5492","350","DIODE - HyperFast 1kV","7.0000","157.5000","5.1289","157.8299"
"D33","US2MF","TopLayer","DO-214AC","7.0087","161.9508","190","DIODE - HyperFast 1kV","7.0000","162.0000","8.8711","162.3299"
"D34","US2MF","TopLayer","DO-214AC","7.0087","166.5492","350","DIODE - HyperFast 1kV","7.0000","166.5000","5.1289","166.8299"
"D35","US2MF","TopLayer","DO-214AC","7.0087","170.9508","190","DIODE - HyperFast 1kV","7.0000","171.0000","8.8711","171.3299"
"D40","US2MF","TopLayer","DO-214AC","7.0087","193.5492","350","DIODE - HyperFast 1kV","7.0000","193.5000","5.1289","193.8299"
"D39","US2MF","TopLayer","DO-214AC","7.0087","188.9508","190","DIODE - HyperFast 1kV","7.0000","189.0000","8.8711","189.3299"
"D38","US2MF","TopLayer","DO-214AC","7.0087","184.5492","350","DIODE - HyperFast 1kV","7.0000","184.5000","5.1289","184.8299"
"D37","US2MF","TopLayer","DO-214AC","7.0087","179.9508","190","DIODE - HyperFast 1kV","7.0000","180.0000","8.8711","180.3299"
"D36","US2MF","TopLayer","DO-214AC","7.0087","175.5492","350","DIODE - HyperFast 1kV","7.0000","175.5000","5.1289","175.8299"
"D26","US2MF","TopLayer","DO-214AC","7.0087","130.5492","350","DIODE - HyperFast 1kV","7.0000","130.5000","5.1289","130.8299"
"D27","US2MF","TopLayer","DO-214AC","7.0087","134.9508","190","DIODE - HyperFast 1kV","7.0000","135.0000","8.8711","135.3299"
"D28","US2MF","TopLayer","DO-214AC","7.0087","139.5492","350","DIODE - HyperFast 1kV","7.0000","139.5000","5.1289","139.8299"
"D29","US2MF","TopLayer","DO-214AC","7.0087","143.9508","190","DIODE - HyperFast 1kV","7.0000","144.0000","8.8711","144.3299"
"D30","US2MF","TopLayer","DO-214AC","7.0087","148.5492","350","DIODE - HyperFast 1kV","7.0000","148.5000","5.1289","148.8299"
"D25","US2MF","TopLayer","DO-214AC","7.0087","125.9508","190","DIODE - HyperFast 1kV","7.0000","126.0000","8.8711","126.3299"
"D24","US2MF","TopLayer","DO-214AC","7.0087","121.5492","350","DIODE - HyperFast 1kV","7.0000","121.5000","5.1289","121.8299"
"D23","US2MF","TopLayer","DO-214AC","7.0087","116.9508","190","DIODE - HyperFast 1kV","7.0000","117.0000","8.8711","117.3299"
"D22","US2MF","TopLayer","DO-214AC","7.0087","112.5492","350","DIODE - HyperFast 1kV","7.0000","112.5000","5.1289","112.8299"
"D21","US2MF","TopLayer","DO-214AC","7.0087","107.9508","190","DIODE - HyperFast 1kV","7.0000","108.0000","8.8711","108.3299"
"D20","US2MF","TopLayer","DO-214AC","7.0087","103.5492","350","DIODE - HyperFast 1kV","7.0000","103.5000","5.1289","103.8299"
"D19","US2MF","TopLayer","DO-214AC","7.0087","98.9508","190","DIODE - HyperFast 1kV","7.0000","99.0000","8.8711","99.3299"
"D18","US2MF","TopLayer","DO-214AC","7.0087","94.5492","350","DIODE - HyperFast 1kV","7.0000","94.5000","5.1289","94.8299"
"D17","US2MF","TopLayer","DO-214AC","7.0087","89.9508","190","DIODE - HyperFast 1kV","7.0000","90.0000","8.8711","90.3299"
"D16","US2MF","TopLayer","DO-214AC","7.0087","85.5492","350","DIODE - HyperFast 1kV","7.0000","85.5000","5.1289","85.8299"
"D15","US2MF","TopLayer","DO-214AC","7.0087","80.9508","190","DIODE - HyperFast 1kV","7.0000","81.0000","8.8711","81.3299"
"D14","US2MF","TopLayer","DO-214AC","7.0087","76.5492","350","DIODE - HyperFast 1kV","7.0000","76.5000","5.1289","76.8299"
"D13","US2MF","TopLayer","DO-214AC","7.0087","71.9508","190","DIODE - HyperFast 1kV","7.0000","72.0000","8.8711","72.3299"
"D12","US2MF","TopLayer","DO-214AC","7.0087","67.5493","350","DIODE - HyperFast 1kV","7.0000","67.5000","5.1289","67.8299"
"D11","US2MF","TopLayer","DO-214AC","7.0087","62.9508","190","DIODE - HyperFast 1kV","7.0000","63.0000","8.8711","63.3299"
"D10","US2MF","TopLayer","DO-214AC","7.0087","58.5493","350","DIODE - HyperFast 1kV","7.0000","58.5000","5.1289","58.8299"
"D9","US2MF","TopLayer","DO-214AC","7.0087","53.9508","190","DIODE - HyperFast 1kV","7.0000","54.0000","8.8711","54.3299"
"D8","US2MF","TopLayer","DO-214AC","7.0087","49.5493","350","DIODE - HyperFast 1kV","7.0000","49.5000","5.1289","49.8299"
"D7","US2MF","TopLayer","DO-214AC","7.0087","44.9508","190","DIODE - HyperFast 1kV","7.0000","45.0000","8.8711","45.3299"
"D6","US2MF","TopLayer","DO-214AC","7.0087","40.5493","350","DIODE - HyperFast 1kV","7.0000","40.5000","5.1289","40.8299"
"D5","US2MF","TopLayer","DO-214AC","7.0087","35.9508","190","DIODE - HyperFast 1kV","7.0000","36.0000","8.8711","36.3299"
"D4","US2MF","TopLayer","DO-214AC","7.0087","31.5493","350","DIODE - HyperFast 1kV","7.0000","31.5000","5.1289","31.8299"
"D3","US2MF","TopLayer","DO-214AC","7.0087","26.9508","190","DIODE - HyperFast 1kV","7.0000","27.0000","8.8711","27.3299"
"D2","US2MF","TopLayer","DO-214AC","7.0087","22.5492","350","DIODE - HyperFast 1kV","7.0000","22.5000","5.1289","22.8299"
"D1","US2MF","TopLayer","DO-214AC","7.0087","17.9508","190","DIODE - HyperFast 1kV","7.0000","18.0000","8.8711","18.3299"
